generation biomass (MW),generation fossil brown coal/lignite (MW),generation fossil gas (MW),generation fossil hard coal (MW),generation fossil oil (MW),generation hydro run-of-river and poundage (MW),generation hydro water reservoir (MW),generation nuclear (MW),generation other (MW),generation other renewable (MW),generation solar (MW),generation waste (MW),generation wind onshore (MW),forecast solar day ahead (MW),forecast wind onshore day ahead (MW),total load forecast (MW),total load actual (MW),price day ahead (EUR/MWh),total production (MW),year,month,hour,price for the previous hour (EUR/MWh),day
281.0,186.0,3737.0,1328.0,294.0,1713.0,5536.0,5087.0,13.0,74.0,1461.0,182.0,8620.0,1768.0,7805.0,30083.0,30277.0,25.54,28512.0,2016,9,15,56.35,5
313.0,539.0,6026.0,4156.0,316.0,423.0,450.0,5904.0,54.0,98.0,41.0,301.0,7622.0,18.0,7598.0,26331.0,26376.0,51.87,26243.0,2017,10,23,64.97,19
287.0,0.0,3241.0,1027.0,195.0,1040.0,573.0,7111.0,52.0,76.0,34.0,238.0,5963.0,107.0,6020.0,18105.0,19046.0,2.3,19837.0,2018,1,8,19.97,1
364.0,501.0,4469.0,5947.0,302.0,1094.0,1977.0,5064.0,51.0,101.0,696.0,255.0,4396.0,857.0,4655.0,29362.0,29370.0,52.19,25217.0,2017,5,8,55.4,17
387.0,0.0,4223.0,3271.0,225.0,767.0,4186.0,6970.0,56.0,80.0,693.0,336.0,5390.0,672.0,5432.0,28687.0,28268.0,40.0,26584.0,2016,8,22,48.99,13
323.0,650.0,5835.0,5960.0,298.0,989.0,3347.0,6960.0,58.0,88.0,692.0,327.0,5938.0,851.0,5906.0,32653.0,32951.0,42.52,31465.0,2016,5,21,28.76,7
352.0,939.0,6634.0,6316.0,317.0,1424.0,2940.0,7109.0,59.0,97.0,47.0,291.0,2178.0,57.0,2202.0,32212.0,32415.0,62.15,28703.0,2017,2,22,75.24,16
294.0,616.0,4251.0,5347.0,147.0,304.0,595.0,7028.0,56.0,72.0,20.0,274.0,2456.0,1.0,2529.0,21280.0,21575.0,41.41,21460.0,2016,10,5,48.6,22
365.0,698.0,4380.0,4311.0,282.0,699.0,564.0,6942.0,13.0,98.0,262.0,318.0,5734.0,268.0,5220.0,26586.0,26661.0,61.21,24666.0,2018,8,1,69.04,30
327.0,0.0,3666.0,1123.0,327.0,903.0,1421.0,6067.0,86.0,62.0,21.0,200.0,11915.0,0.0,11912.0,20598.0,20694.0,4.0,26118.0,2016,7,4,45.58,1
372.0,917.0,6974.0,5722.0,268.0,960.0,4850.0,6954.0,66.0,86.0,2133.0,319.0,631.0,2468.0,727.0,32113.0,32562.0,48.1,30252.0,2016,3,9,43.35,8
329.0,0.0,4365.0,3560.0,290.0,1209.0,6757.0,7004.0,59.0,90.0,4014.0,276.0,1454.0,4165.0,1521.0,30120.0,30161.0,43.59,29407.0,2016,6,10,49.83,24
482.0,942.0,10336.0,7443.0,423.0,839.0,2985.0,5468.0,91.0,69.0,1615.0,229.0,905.0,1548.0,885.0,32380.0,32502.0,65.23,31827.0,2015,1,16,73.6,12
530.0,880.0,4639.0,6681.0,321.0,593.0,1733.0,6330.0,84.0,69.0,20.0,253.0,6678.0,0.0,6665.0,30590.0,31406.0,56.7,28811.0,2015,12,21,64.92,13
438.0,0.0,3774.0,1710.0,279.0,1450.0,6676.0,7110.0,94.0,78.0,923.0,208.0,7119.0,991.0,7005.0,30629.0,29738.0,36.97,29859.0,2016,12,19,73.32,3
401.0,616.0,9309.0,4828.0,358.0,609.0,2354.0,6847.0,60.0,94.0,2480.0,312.0,1846.0,2779.0,1897.0,33510.0,33247.0,52.66,30114.0,2017,8,10,58.12,25
352.0,580.0,5909.0,5108.0,322.0,348.0,300.0,5045.0,54.0,98.0,39.0,287.0,4942.0,17.0,4817.0,23953.0,24147.0,48.8,23384.0,2017,11,4,53.93,24
494.0,191.0,4689.0,2235.0,382.0,1197.0,6520.0,5572.0,88.0,71.0,4752.0,129.0,9992.0,4757.0,10176.0,36358.0,35766.0,34.12,36312.0,2016,2,12,46.29,16
326.0,0.0,5742.0,1651.0,218.0,1323.0,1965.0,6064.0,56.0,80.0,639.0,270.0,2138.0,560.0,2215.0,22388.0,22460.0,44.5,20472.0,2016,6,1,53.37,6
